"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","不相容角色维护模块","不相容角色维护模块新增","0","1","0","0","0"
"","档案规范维护模块","档案规范维护模块新增","0","1","0","0","0"
"","内控风险规则审批模块","内控风险规则审批","0","1","0","0","0"
"","业务环节经办规则维护模块","业务环节经办规则维护","0","1","0","0","0"
"","内控风险规则登记模块","内控风险规则登记模块新增","0","1","0","0","0"
"","业务环节维护模块","业务环节维护模块维护","0","1","0","0","0"
"","单位信息维护模块","单位信息维护","0","1","0","0","0"
"","政策信息维护模块","政策信息维护模块新增","0","1","0","0","0"
"","受控模块登记模块","受控模块登记模块维护","0","1","0","0","0"
"","内控风险规则作废模块","内控风险规则作废","0","1","0","0","0"
"","事项事件维护模块","事项事件维护模块新增","0","0","0","1","0"
"","受控模块审批模块","受控模块审批","0","1","0","0","0"
"","内控参数设置模块","内控参数设置维护","0","1","0","0","0"
"","受控模块生效申请模块","受控模块生效申请维护","0","1","0","0","0"
"","服务事项维护模块","服务事项维护","0","1","0","0","0"
"","受控模块作废申请模块","受控模块作废申请维护","0","1","0","0","0"
